LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
ATL,12,77058,36.92,42.06,79626,38.15,42.06,82195,39.38,42.06,84764,40.62,42.06,87332,41.85,42.06,89901,43.08,43.08,92469,44.31,44.31,95038,45.54,45.54,97606,46.77,46.77,100175,48.00,48.00
ATL,13,91631,43.91,43.91,94685,45.37,45.37,97740,46.83,46.83,100794,48.30,48.30,103849,49.76,49.76,106903,51.22,51.22,109958,52.69,52.69,113012,54.15,54.15,116066,55.61,55.61,119121,57.08,57.08
ATL,14,108281,51.88,51.88,111890,53.61,53.61,115499,55.34,55.34,119109,57.07,57.07,122718,58.80,58.80,126327,60.53,60.53,129937,62.26,62.26,133546,63.99,63.99,137156,65.72,65.72,140765,67.45,67.45
ATL,15,127367,61.03,61.03,131612,63.06,63.06,135858,65.10,65.10,140103,67.13,67.13,144349,69.17,69.17,148594,71.20,71.20,152840,73.23,73.23,157085,75.27,75.27,161331,77.30,77.30,164200,78.68,78.68
AU,1,21924,10.51,15.77,22658,10.86,16.29,23388,11.21,16.82,24112,11.55,17.33,24842,11.90,17.85,25268,12.11,18.17,25988,12.45,18.68,26716,12.80,19.20,26744,12.81,19.22,27429,13.14,19.71
AU,2,24650,11.81,17.72,25237,12.09,18.14,26053,12.48,18.72,26744,12.81,19.22,27048,12.96,19.44,27844,13.34,20.01,28639,13.72,20.58,29435,14.10,21.15,30231,14.49,21.74,31027,14.87,22.31
AU,3,26896,12.89,19.34,27792,13.32,19.98,28688,13.75,20.63,29585,14.18,21.27,30481,14.61,21.92,31377,15.03,22.55,32274,15.46,23.19,33170,15.89,23.84,34066,16.32,24.48,34963,16.75,25.13
AU,4,30194,14.47,21.71,31200,14.95,22.43,32206,15.43,23.15,33212,15.91,23.87,34218,16.40,24.60,35224,16.88,25.32,36230,17.36,26.04,37236,17.84,26.76,38242,18.32,27.48,39248,18.81,28.22
AU,5,33782,16.19,24.29,34908,16.73,25.10,36034,17.27,25.91,37160,17.81,26.72,38287,18.35,27.53,39413,18.89,28.34,40539,19.42,29.13,41665,19.96,29.94,42792,20.50,30.75,43918,21.04,31.56
AU,6,37655,18.04,27.06,38910,18.64,27.96,40165,19.25,28.88,41419,19.85,29.78,42674,20.45,30.68,43928,21.05,31.58,45183,21.65,32.48,46438,22.25,33.38,47692,22.85,34.28,48947,23.45,35.18
AU,7,41845,20.05,30.08,43240,20.72,31.08,44635,21.39,32.09,46029,22.06,33.09,47424,22.72,34.08,48819,23.39,35.09,50213,24.06,36.09,51608,24.73,37.10,53003,25.40,38.10,54397,26.06,39.09
AU,8,46342,22.21,33.32,47887,22.95,34.43,49433,23.69,35.54,50978,24.43,36.65,52523,25.17,37.76,54068,25.91,38.87,55613,26.65,39.98,57159,27.39,40.52,58704,28.13,40.52,60249,28.87,40.52
AU,9,51186,24.53,36.80,52892,25.34,38.01,54598,26.16,39.24,56304,26.98,40.47,58011,27.80,40.52,59717,28.61,40.52,61423,29.43,40.52,63130,30.25,40.52,64836,31.07,40.52,66542,31.88,40.52
AU,10,56367,27.01,40.52,58246,27.91,40.52,60125,28.81,40.52,62005,29.71,40.52,63884,30.61,40.52,65763,31.51,40.52,67642,32.41,40.52,69521,33.31,40.52,71400,34.21,40.52,73279,35.11,40.52
AU,11,61929,29.67,40.52,63993,30.66,40.52,66058,31.65,40.52,68122,32.64,40.52,70187,33.63,40.52,72252,34.62,40.52,74316,35.61,40.52,76381,36.60,40.52,78445,37.59,40.52,80510,38.58,40.52
AU,12,74228,35.57,40.52,76702,36.75,40.52,79176,37.94,40.52,81650,39.12,40.52,84125,40.31,40.52,86599,41.49,41.49,89073,42.68,42.68,91547,43.87,43.87,94022,45.05,45.05,96496,46.24,46.24
AU,13,88265,42.29,42.29,91208,43.70,43.70,94150,45.11,45.11,97092,46.52,46.52,100034,47.93,47.93,102977,49.34,49.34,105919,50.75,50.75,108861,52.16,52.16,111804,53.57,53.57,114746,54.98,54.98
AU,14,104304,49.98,49.98,107781,51.64,51.64,111257,53.31,53.31,114734,54.98,54.98,118211,56.64,56.64,121688,58.31,58.31,125164,59.97,59.97,128641,61.64,61.64,132118,63.31,63.31,135595,64.97,64.97
AU,15,122689,58.79,58.79,126779,60.75,60.75,130868,62.71,62.71,134958,64.67,64.67,139047,66.63,66.63,143137,68.59,68.59,147226,70.54,70.54,151316,72.50,72.50,155405,74.46,74.46,159495,76.42,76.42
BOS,1,23947,11.47,17.21,24749,11.86,17.79,25546,12.24,18.36,26337,12.62,18.93,27134,13.00,19.50,27599,13.22,19.83,28386,13.60,20.40,29181,13.98,20.97,29212,14.00,21.00,29960,14.36,21.54
BOS,2,26925,12.90,19.35,27566,13.21,19.82,28457,13.64,20.46,29212,14.00,21.00,29543,14.16,21.24,30413,14.57,21.86,31282,14.99,22.49,32152,15.41,23.12,33021,15.82,23.73,33891,16.24,24.36
